representative_ICE,ICE_fullname,pairwise_identity_w_representative_ICE_excl_transposase,transposase_insertion_vs_representative_ICE,ICE_host_strain_ID,RSSC_lineage,year_of_isolation,global_region_of_isolation,country_of_isolation,area_or_nearest_village,material_of_isolation,Clade_of_isolation,order_of_isolation,host_genus_of_isolation,host_spp_of_isolation
ICERps_FJAT-91,FJAT-91_ICE,100,group II intron reverse transcriptase/maturase insertion,FJAT-91,RpsI,2009,Asia,China,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_FJAT-91,FJAT91-F1_ICE,100,group II intron reverse transcriptase/maturase insertion,FJAT91-F1,RpsI,2019,Asia,China,,,,,,
ICERps_FJAT-91,FJAT91-F8_ICE,100,group II intron reverse transcriptase/maturase insertion,FJAT91-F8,RpsI,2019,Asia,China,,,,,,
ICERps_FJAT-91,FJAT91.F50_ICE,100,group II intron reverse transcriptase/maturase insertion,FJAT91.F50,RpsI,2019,Asia,China,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_FJAT-91,MAFF_211471,100,,MAFF_211471,RpsI,1997,Asia,Japan,,,Monocot,Zingiberales,Zingiber,Zingiber officinale
ICERps_FJAT-91,MAFF_211472,100,,MAFF_211472,RpsI,,Asia,Japan,,,Monocot,Zingiberales,Zingiber,Zingiber officinale
ICERps_FJAT-91,Wj644_ICE,100,,Wj644,RpsI,2015,Asia,South Korea,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_FJAT-91,YQ_ICE,100,group II intron reverse transcriptase/maturase insertion,YQ,RpsI,2014,Asia,China,,,Eudicot,Fagales,Casuarina,Casuarina equisetifolia
ICERps_Pp26,Cq01_ICE,100,,Cq01,RpsI,2016,Asia,China,,,Eudicot,Cucurbitales,Benincasa,Benincasa hispida
ICERps_Pp26,Pp26_ICE,100,,Pp26,RpsI,2018,Asia,China,,,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_Pp26,Rs-T02_ICE,100,,Rs-T02,RpsI,2010,Asia,China,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_Pp26,Tg03_ICE,100,,Tg03,RpsI,2017,Asia,China,,,Eudicot,Cucurbitales,Luffa,Luffa aegyptiaca
ICERps_RUN1948,RUN1948_ICE,NA,,RUN1948,RpsI17,2011,South America,French Guiana,Cacao,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_RUN1948,RUN1950_ICE,100,,RUN1950,RpsI17,2011,South America,French Guiana,Macouria,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN1948,RUN1952_ICE,100,,RUN1952,RpsI17,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_RUN1948,RUN1954_ICE,100,,RUN1954,RpsI17,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_RUN1948,RUN1981_ICE,100,,RUN1981,RpsI17,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_RUN1948,RUN1984_ICE,100,,RUN1984,RpsI17,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_RUN1948,RUN1985_ICE,100,,RUN1985,RpsI17,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN1948,RUN1986_ICE,100,,RUN1986,RpsI17,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN1948,RUN1987_ICE,100,,RUN1987,RpsI17,2011,South America,French Guiana,Javouhey,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN1948,RUN2228_ICE,100,,RUN2228,RpsI17,2012,South America,French Guiana,Corrossony 2,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_RUN1948,RUN2231_ICE,100,,RUN2231,RpsI17,2012,South America,French Guiana,Corrossony 2,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_RUN1948,RUN2232_ICE,100,,RUN2232,RpsI17,2012,South America,French Guiana,Corrossony 2,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_RUN1948,RUN2233_ICE,100,,RUN2233,RpsI17,2012,South America,French Guiana,Corrossony 2,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_GMI1000,GMI1000_ICE,NA,,GMI1000,RpsI18,1978,South America,French Guiana,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_GMI1000,RUN1955_ICE,NA,,RUN1955,RpsI18,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_GMI1000,RUN1958_ICE,NA,,RUN1958,RpsI18,2011,South America,French Guiana,Montsinery,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERps_GMI1000,UQRS637_UW745_ICE,NA,,UQRS637_UW745,RpsI18,,Asia,Indonesia,,,Monocot,Zingiberales,Musa,Musa spp.
ICERps_O12BS_UW407,O12BS_UW407_ICE,NA,,O12BS_UW407,RpsI18,1965,Oceania,Australia,,,Eudicot,Solanales,Solanum,Solanum tuberosum
ICERps_RS_476,RS_476_ICE,NA,,RS_476,RpsI18,2011,South America,Brazil,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_RUN0037,RUN0037_ICE,NA,,RUN0037,RpsI18,1983,Caribbean,Martinique,Schoelcher,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN0037,RUN0729_ICE,99.997,,RUN0729,RpsI18,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN0037,RUN0785_ICE,99.999,,RUN0785,RpsI18,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Capsicum,Capsicum sp.
ICERps_RUN0037,RUN1208_ICE,99.999,,RUN1208,RpsI18,2007,Caribbean,Martinique,Saint Esprit,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_RUN0748,RUN0748_ICE,NA,,RUN0748,RpsI18,2002,Caribbean,Martinique,Le Marin,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERps_RUN0765,RUN0765_ICE,NA,,RUN0765,RpsI18,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Capsicum,Capsicum sp.
ICERps_RUN0765,RUN1268_ICE,NA,,RUN1268,RpsI18,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Capsicum,Capsicum sp.
ICERps_RUN0796,RUN0796_ICE,NA,,RUN0796,RpsI18,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Apiales,Petroselinum,Petroselinum crispum
ICERps_RUN0796,RUN1080_ICE,100,,RUN1080,RpsI18,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Capsicum,Capsicum sp.
ICERps_RUN0796,RUN1199_ICE,100,,RUN1199,RpsI18,2002,Caribbean,Martinique,Saint Pierre,plant,Eudicot,Cucurbitales,Citrullus,Citrullus lanatus
ICERps_RUN0820,RUN0715_ICE,99.997,,RUN0715,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0717_ICE,100,,RUN0717,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0718_ICE,99.995,,RUN0718,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0720_ICE,100,homopolymer_run_excluded,RUN0720,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0724_ICE,100,,RUN0724,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0725_ICE,100,,RUN0725,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0731_ICE,99.997,,RUN0731,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0735_ICE,100,,RUN0735,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0740_ICE,99.999,,RUN0740,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0749_ICE,100,,RUN0749,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0751_ICE,100,,RUN0751,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0752_ICE,100,homopolymer_run_excluded,RUN0752,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0753_ICE,100,,RUN0753,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0757_ICE,100,,RUN0757,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0758_ICE,100,,RUN0758,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0778_ICE,100,,RUN0778,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0783_ICE,100,,RUN0783,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0792_ICE,100,,RUN0792,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0793_ICE,100,,RUN0793,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0798_ICE,100,,RUN0798,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0800_ICE,99.999,,RUN0800,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0803_ICE,100,,RUN0803,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0804_ICE,100,,RUN0804,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0805_ICE,100,,RUN0805,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0807_ICE,100,,RUN0807,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0814_ICE,100,,RUN0814,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0820_ICE,NA,,RUN0820,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0822_ICE,100,,RUN0822,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0826_ICE,100,,RUN0826,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0829_ICE,99.999,,RUN0829,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0830_ICE,100,,RUN0830,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0834_ICE,100,,RUN0834,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN0837_ICE,100,,RUN0837,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN0820,RUN1065_ICE,99.995,,RUN1065,RpsI18,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERps_RUN1101,RUN1101_ICE,NA,,RUN1101,RpsI18,2002,Caribbean,Martinique,Marigot,plant,Eudicot,Solanales,Capsicum,Capsicum sp.
ICERps_RUN1258,RUN1258_ICE,NA,,RUN1258,RpsI18,2003,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_UW193,UW193_ICE,NA,,UW193,RpsI18,,South America,Peru,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_UW193,UW299_ICE_2,NA,,UW299,RpsI18,1976,South America,Brazil,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_UW299-1,UW299_ICE_1,NA,,UW299,RpsI18,1976,South America,Brazil,,,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERps_UW386-1,UW386_ICE_1,NA,,UW386,RpsIII,1979,Africa,Nigeria,,,Eudicot,Solanales,Solanum,Solanum nigrum
ICERps_UW386-2,UW386_ICE_2,NA,,UW386,RpsIII,1979,Africa,Nigeria,,,Eudicot,Solanales,Solanum,Solanum nigrum
ICERps_NCPPB_216,NCPPB_216_ICE,NA,,NCPPB_216,RpsIII,,,,,,,,,
ICERps_RUN2279,RUN2279_ICE,NA,,RUN2279,RpsIII,2013,Africa,Madagascar,,,Eudicot,Solanales,Solanum,Solanum tuberosum
ICERso_RUN1155,RUN1155_ICE,NA,,RUN1155,RsoIIA,2003,Caribbean,Martinique,Morne Vert,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN0755,RUN0755_ICE,NA,,RUN0755,RsoIIA38,2007,Caribbean,Martinique,Le Precheur,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1977,RUN1977_ICE,NA,,RUN1977,RsoIIA38,2011,South America,French Guiana,Corossony 1,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERso_RUN1977,RUN1978_ICE,99.998,,RUN1978,RsoIIA38,2011,South America,French Guiana,Corossony 1,plant,Eudicot,Solanales,Solanum,Solanum melongena
ICERso_RUN1977,RUN2003_ICE,99.995,,RUN2003,RsoIIA38,2011,South America,French Guiana,Corossony 1,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1977,RUN2005_ICE,99.995,,RUN2005,RsoIIA38,2011,South America,French Guiana,Corossony 1,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1977,RUN2006_ICE,99.995,,RUN2006,RsoIIA38,2011,South America,French Guiana,Corossony 1,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1977,RUN2010_ICE,99.995,,RUN2010,RsoIIA38,2011,South America,French Guiana,Corossony 1,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_CIP211_UW461,CIP211_UW461_ICE,NA,,CIP211_UW461,RsoIIB,1978,South America,Brazil,,,Eudicot,Solanales,Solanum,Solanum tuberosum
ICERso_CIP211_UW461,CIP214_UW488_ICE,100,,CIP214_UW488,RsoIIB,1978,South America,Brazil,,,Eudicot,Solanales,Solanum,Solanum americanum
ICERso_RUN1145,P673_ICE,100,,P673,RsoIIB4NPB,2003,North America,USA,,,Monocot,Alismatales,Epipremnum,Epipremnum spp.
ICERso_RUN1145,RUN0002_ICE,100,,RUN0002,RsoIIB4NPB,2000,Caribbean,Martinique,,,Monocot,Alismatales,Anthurium,Anthurium spp.
ICERso_RUN1145,RUN0004_ICE,100,,RUN0004,RsoIIB4NPB,1999,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0005_ICE,100,,RUN0005,RsoIIB4NPB,1999,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0006_ICE,100,,RUN0006,RsoIIB4NPB,1999,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0008_ICE,100,,RUN0008,RsoIIB4NPB,1999,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0015_ICE,100,,RUN0015,RsoIIB4NPB,1999,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0017_ICE,100,,RUN0017,RsoIIB4NPB,2002,Caribbean,Martinique,Morne Rouge,plant,Monocot,Zingiberales,Heliconia,Heliconia caribea
ICERso_RUN1145,RUN0018_ICE,100,,RUN0018,RsoIIB4NPB,2002,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0261_ICE,100,,RUN0261,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN0276_ICE,100,,RUN0276,RsoIIB4NPB,2002,Caribbean,Martinique,Saint Esprit,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita moschata
ICERso_RUN1145,RUN0281_ICE,100,,RUN0281,RsoIIB4NPB,2001,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0282_ICE,100,,RUN0282,RsoIIB4NPB,2000,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0283_ICE,100,,RUN0283,RsoIIB4NPB,,Caribbean,Martinique,,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0284_ICE,100,,RUN0284,RsoIIB4NPB,2002,Caribbean,Martinique,Fonds Saint Denis,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
ICERso_RUN1145,RUN0285_ICE,100,,RUN0285,RsoIIB4NPB,2002,Caribbean,Martinique,Vauclin,plant,Eudicot,Cucurbitales,Cucumis,Cucumis melo
ICERso_RUN1145,RUN0286_ICE,100,,RUN0286,RsoIIB4NPB,2002,Caribbean,Martinique,Morne Rouge,plant,Monocot,Pandanales,Pandanus,Pandanus sp.
ICERso_RUN1145,RUN0287_ICE,100,,RUN0287,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0289_ICE,100,,RUN0289,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0290_ICE,100,,RUN0290,RsoIIB4NPB,2002,Caribbean,Martinique,Le Marin,plant,Eudicot,Cucurbitales,Cucurbita,Cucurbita moschata
ICERso_RUN1145,RUN0291_ICE,100,,RUN0291,RsoIIB4NPB,2002,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Cucurbitales,Citrullus,Citrullus lanatus
ICERso_RUN1145,RUN0292_ICE,100,,RUN0292,RsoIIB4NPB,2003,Caribbean,Martinique,Saint Esprit,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0293_ICE,100,,RUN0293,RsoIIB4NPB,2003,Caribbean,Martinique,Macouba,plant,Eudicot,Cucurbitales,Citrullus,Citrullus lanatus
ICERso_RUN1145,RUN0295_ICE,100,,RUN0295,RsoIIB4NPB,2004,Caribbean,Martinique,Trinite,plant,Monocot,Zingiberales,Musa,Musa acuminata x balbisiana AAB
ICERso_RUN1145,RUN0296_ICE,100,,RUN0296,RsoIIB4NPB,2004,Caribbean,Martinique,Trinite,plant,Monocot,Zingiberales,Musa,Musa acuminata x balbisiana AAB
ICERso_RUN1145,RUN0354_ICE,100,,RUN0354,RsoIIB4NPB,2003,Caribbean,Martinique,Macouba,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0358_ICE,100,,RUN0358,RsoIIB4NPB,2002,Caribbean,Martinique,Saint Joseph,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0360_ICE,100,,RUN0360,RsoIIB4NPB,2003,Caribbean,Martinique,Basse Pointe,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0429_ICE,100,,RUN0429,RsoIIB4NPB,2006,Caribbean,Martinique,Macouba,plant,Monocot,Zingiberales,Musa,Musa sp.
ICERso_RUN1145,RUN0430_ICE,100,,RUN0430,RsoIIB4NPB,2006,Caribbean,Martinique,Macouba,plant,Monocot,Zingiberales,Musa,Musa sp.
ICERso_RUN1145,RUN0431_ICE,100,,RUN0431,RsoIIB4NPB,2006,South America,French Guiana,Macouria,water_irrigation,Environmental,Environmental,Water,water_irrigation
ICERso_RUN1145,RUN0432_ICE,100,,RUN0432,RsoIIB4NPB,2006,South America,French Guiana,Macouria,water_irrigation,Environmental,Environmental,Water,water_irrigation
ICERso_RUN1145,RUN0433_ICE,100,,RUN0433,RsoIIB4NPB,2006,South America,French Guiana,Macouria,water_irrigation,Environmental,Environmental,Water,water_irrigation
ICERso_RUN1145,RUN0438_ICE,100,,RUN0438,RsoIIB4NPB,2006,Caribbean,Martinique,Saint Esprit,water_irrigation,Environmental,Environmental,Water,water_irrigation
ICERso_RUN1145,RUN0520_ICE,100,,RUN0520,RsoIIB4NPB,2006,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum americanum
ICERso_RUN1145,RUN0522_ICE,100,,RUN0522,RsoIIB4NPB,2006,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum americanum
ICERso_RUN1145,RUN0660_ICE,100,,RUN0660,RsoIIB4NPB,2006,South America,French Guiana,,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN0716_ICE,100,,RUN0716,RsoIIB4NPB,2002,Caribbean,Martinique,Gros Morne,plant,Monocot,Alismatales,Anthurium,Anthurium andreanumXX
ICERso_RUN1145,RUN0719_ICE,100,,RUN0719,RsoIIB4NPB,2002,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0722_ICE,100,,RUN0722,RsoIIB4NPB,2002,Caribbean,Martinique,Saint Joseph,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0723_ICE,100,,RUN0723,RsoIIB4NPB,2002,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0726_ICE,100,,RUN0726,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0727_ICE,100,,RUN0727,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0732_ICE,100,,RUN0732,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0739_ICE,100,,RUN0739,RsoIIB4NPB,,Caribbean,Martinique,Morne Rouge,plant,Monocot,Alismatales,Anthurium,Anthurium andreanum
ICERso_RUN1145,RUN0741_ICE,100,,RUN0741,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0744_ICE,100,,RUN0744,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0745_ICE,100,,RUN0745,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0746_ICE,100,,RUN0746,RsoIIB4NPB,2007,Caribbean,Martinique,Trinite ,plant,Eudicot,Solanales,Capsicum,Capsicum annuum
ICERso_RUN1145,RUN0747_ICE,100,,RUN0747,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0750_ICE,100,,RUN0750,RsoIIB4NPB,2002,Caribbean,Martinique,Le Lorrain,plant,Eudicot,Solanales,Solanum,Solanum lycopersicum
ICERso_RUN1145,RUN0754_ICE,100,,RUN0754,RsoIIB4NPB,2007,Caribbean,Martinique,Le Lorrain,soil,Environmental,Environmental,Soil,soil_banana_fallow
ICERso_RUN1145,RUN0756_ICE,100,,RUN0756,RsoIIB4NPB,2002,Caribbean,Martinique,Sainte Anne,plant,Eudicot,Cucurbitales,Cucumis,Cucumis sativus
