RUN_ID,BioProject,NCBI_SRA,NCBI_assembly_accession,Bakta_Annotation,PRAM_strain_ID,Alternative_ID,Assembly_contigs_num,Assembly_length_bp,Assembly_N50,Assembly_QC_pass,original_collection,year_of_isolation,date_of_isolation,latitude_of_isolation,longitude_of_isolation,elevation,global_region_of_isolation,country_of_isolation,area_or_nearest_village,agroecological_zone,preceding_crop_common_name,material_of_isolation,tissue_of_isolation,Clade_of_isolation,order_of_isolation,host_genus_of_isolation,host_spp_of_isolation,host_spp_or_variety_of_isolation,host_common_name,plotting_categories,host_phenotype_of_isolation,notes,assigned_phylotype,phylotype_reassigned_by_tree,assigned_sequevar,discrepancies_to_prior_phylotype
RUN0611,PRJNA1196686,SRR31675671,,Available in Zenodo,LNPV32.39,,73,5424560,155976,yes,Deberdt_et_al_2014,,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0612,PRJNA1196686,SRR31675670,,Available in Zenodo,LNPV32.40,,71,5424226,202735,yes,Deberdt_et_al_2014,,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0660,PRJNA1196686,SRR31675669,,Available in Zenodo,LNPV30.75,2006 0261,62,5557880,253812,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,,,,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,,,IIB,IIB,Basal 4NPB,match
RUN0661,PRJNA1196686,SRR31675668,,Available in Zenodo,LNPV30.79,2006 0296,80,5425863,139894,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0662,PRJNA1196686,SRR31675667,,Available in Zenodo,LNPV31.10,2006 539,73,5426321,170537,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0665,PRJNA1196686,SRR31675450,,Available in Zenodo,LNPV32.36,2007 1138A,75,5425051,185931,yes,Deberdt_et_al_2014,2007,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0666,PRJNA1196686,SRR31675448,,Available in Zenodo,LNPV32.37,2007 1138B,80,5425832,139784,yes,Deberdt_et_al_2014,2007,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa acuminata x balbisiana AAB,,Plantain,Musa,,"Species listed as Musa sp., host_common_name listed as Plantain, spp changed to Musa acuminata x balbisiana AAB",IIB,IIB,4,match
RUN0667,PRJNA1196686,SRR31675447,,Available in Zenodo,LNPV32.39,2007 1327/1,101,5419264,109547,no,Deberdt_et_al_2014,2007,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,-,4 or 4NPB,unknown
RUN0668,PRJNA1196686,SRR31675446,,Available in Zenodo,LNPV32.40,2007 1327/2,74,5425063,165688,yes,Deberdt_et_al_2014,2007,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa sp.,,,Musa,,,IIB,IIB,4,match
RUN0671,PRJNA1196686,SRR31675445,,Available in Zenodo,CFBP705,,57,5540153,254341,yes,Deberdt_et_al_2014,1968,,,,,South America,French Guiana,Kourou,,,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,,,IIA,IIA,35,match
RUN1174,PRJNA1196686,SRR31675599,,Available in Zenodo,L2006MA500268/4,06-040,62,5563412,316674,yes,Deberdt_et_al_2014,2006,,,,,South America,French Guiana,Macouria,,,water,,Environmental,Environmental,Water,water,,,Environmental: Water,,,IIB,IIB,Basal 4NPB,match
RUN1331,PRJNA1196686,SRR31675359,,Available in Zenodo,UQRS531,CMIb8365; R203,214,5464918,80466,yes,Deberdt_et_al_2014,,,,,,South America,French Guiana,,,,plant,,Monocot,Zingiberales,Musa,Musa acuminata x balbisiana AAB,,Plantain,Musa,,"Species listed as Musa sp., host_common_name listed as Plantain, spp changed to Musa acuminata x balbisiana AAB",IIA,IIA,6,match
RUN1947,PRJNA1196686,SRR31675358,,Available in Zenodo,E02PO3,,63,5555996,271652,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,Vegetables,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,4NPB,match
RUN1948,PRJNA1196686,SRR31675357,,Available in Zenodo,E02PO10,,102,5949701,176941,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,Vegetables,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,17,match
RUN1949,PRJNA1196686,SRR31675356,,Available in Zenodo,E01A1,,517,6181870,172292,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Macouria,FG2,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,"Two areas listed for Régina, two farms sampled in each. ",I,-,17,unknown
RUN1950,PRJNA1196686,SRR31675594,,Available in Zenodo,E01A6,,107,5798845,139136,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Macouria,FG2,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,"Two areas listed for Régina, two farms sampled in each. ",I,I,17,match
RUN1951,PRJNA1196686,SRR31675593,,Available in Zenodo,E03PO3,,73,5581487,216401,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cantaloupe,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1952,PRJNA1196686,SRR31675592,,Available in Zenodo,E03PO4,,112,5809142,150204,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cantaloupe,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,17,match
RUN1953,PRJNA1196686,SRR31675591,,Available in Zenodo,E03PO5,,66,5577713,282919,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cantaloupe,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,4NPB,match
RUN1954,PRJNA1196686,SRR31675590,,Available in Zenodo,E03PO8,,116,5961480,157671,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cantaloupe,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,17,match
RUN1955,PRJNA1196686,SRR31675589,,Available in Zenodo,E04PO2,,123,5705935,129447,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cucumber,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,18,match
RUN1956,PRJNA1196686,SRR31675588,,Available in Zenodo,E04PO5,,56,5555222,261272,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cucumber,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1957,PRJNA1196686,SRR31675587,,Available in Zenodo,E04PO6,,56,5552375,283345,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cucumber,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1958,PRJNA1196686,SRR31675586,,Available in Zenodo,E04PO10,,130,5703066,110714,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Cucumber,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,18,match
RUN1959,PRJNA1196686,SRR31675585,,Available in Zenodo,E05T2,,59,5600387,316662,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1960,PRJNA1196686,SRR31675583,,Available in Zenodo,E05T12,,55,5602147,355456,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1961,PRJNA1196686,SRR31675582,,Available in Zenodo,E06T3,,52,5711149,312956,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1962,PRJNA1196686,SRR31675581,,Available in Zenodo,E06T4,,75,5701962,261001,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1963,PRJNA1196686,-,,Available in Zenodo,E06T6,,,,,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,I,-,18,unknown
RUN1964,PRJNA1196686,SRR31675580,,Available in Zenodo,E06T7,,47,5561317,380818,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1965,PRJNA1196686,SRR31675579,,Available in Zenodo,E06T10,,60,5574981,336799,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,4NPB,match
RUN1966,PRJNA1196686,SRR31675578,,Available in Zenodo,E07A1,,56,5550400,261272,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Wayabo,FG2,Forest,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1967,PRJNA1196686,SRR31675577,,Available in Zenodo,E07A2,,61,5554204,209716,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Wayabo,FG2,Forest,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1968,PRJNA1196686,SRR31675576,,Available in Zenodo,E07A3,,71,5578643,236610,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Wayabo,FG2,Forest,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,IIB,IIB,4NPB,match
RUN1969,PRJNA1196686,SRR31675575,,Available in Zenodo,E08T1,,83,5734526,349470,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Matoury,FG3,Tomato,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,35,match
RUN1970,PRJNA1196686,SRR31675574,,Available in Zenodo,E11PO4,,56,5549976,212379,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Sweet pepper,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1971,PRJNA1196686,SRR31675572,,Available in Zenodo,E11PO10,,88,5738345,172414,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Sweet pepper,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,-,14,unknown
RUN1972,PRJNA1196686,SRR31675571,,Available in Zenodo,E11PO11,,78,5709800,194882,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Sweet pepper,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,14,match
RUN1973,PRJNA1196686,SRR31675714,,Available in Zenodo,E11PO12,,64,5576058,255545,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Mana,FG1,Sweet pepper,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,4NPB,match
RUN1974,PRJNA1196686,SRR31675713,,Available in Zenodo,E13A1,,141,5751752,100061,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Sinnamary,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum aethiopicum,,African aubergine,Other Solanaceae,symptomatic,,I,I,18,match
RUN1975,PRJNA1196686,SRR31675712,,Available in Zenodo,E13A2,,137,5756990,111247,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Sinnamary,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum aethiopicum,,African aubergine,Other Solanaceae,symptomatic,,I,I,18,match
RUN1976,PRJNA1196686,SRR31675711,,Available in Zenodo,E14A6,,350,6075873,172852,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Okra,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,IIA,-,38,unknown
RUN1977,PRJNA1196686,SRR31675710,,Available in Zenodo,E14A7,,119,5968757,201905,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Okra,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,IIA,IIA,38,match
RUN1978,PRJNA1196686,SRR31675709,,Available in Zenodo,E14A10,,133,5874836,172890,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Okra,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,IIA,IIA,38,match
RUN1979,PRJNA1196686,SRR31675708,,Available in Zenodo,E14A11,,92,5815273,265498,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Okra,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,I,I,14,match
RUN1980,PRJNA1196686,SRR31675707,,Available in Zenodo,E15PO1,,54,5574228,282919,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,4NPB,match
RUN1981,PRJNA1196686,SRR31675705,,Available in Zenodo,E15PO3,,91,5898104,139136,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,17,match
RUN1982,PRJNA1196686,SRR31675704,,Available in Zenodo,E15PO6,,61,5549157,212379,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1983,PRJNA1196686,SRR31675703,,Available in Zenodo,E15PO11,,55,5572736,261444,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,IIB,IIB,4NPB,match
RUN1984,PRJNA1196686,SRR31675702,,Available in Zenodo,E15PO12,,92,5891950,125959,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Cabbage,plant,,Eudicot,Solanales,Capsicum,Capsicum annuum,bell,Bell pepper,Other Solanaceae,symptomatic,,I,I,17,match
RUN1985,PRJNA1196686,SRR31675701,,Available in Zenodo,E16A2,,104,5784092,128315,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,I,I,17,match
RUN1986,PRJNA1196686,SRR31675700,,Available in Zenodo,E16A3,,106,5890525,119896,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,I,I,17,match
RUN1987,PRJNA1196686,SRR31675699,,Available in Zenodo,E16A13,,95,5894824,144952,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Javouhey,FG1,Fallow,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,I,I,17,match
RUN1988,PRJNA1196686,SRR31675698,,Available in Zenodo,E17A1,,96,6094915,139136,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,/,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,I,-,17,unknown
RUN1989,PRJNA1196686,SRR31675697,,Available in Zenodo,E17A2,,96,6088537,139609,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,/,plant,,Eudicot,Solanales,Solanum,Solanum melongena,,Aubergine,Other Solanaceae,symptomatic,,I,-,17,unknown
RUN1990,PRJNA1196686,SRR31675696,,Available in Zenodo,E02T10,,92,6069585,125941,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,Vegetables,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,I,-,17,unknown
RUN1991,PRJNA1196686,SRR31675693,,Available in Zenodo,E02T11,,96,5845932,126142,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,Vegetables,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,I,I,17,match
RUN1992,PRJNA1196686,SRR31675692,,Available in Zenodo,E02CO2,,56,5555445,261266,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Cacao,FG3,Vegetables,plant,,Eudicot,Cucurbitales,Cucurbita,Cucurbita pepo,,Courgette,Cucurbits,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1993,PRJNA1196686,SRR31675691,,Available in Zenodo,E18T1,,31,5445386,351710,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1994,PRJNA1196686,SRR31675474,,Available in Zenodo,E18T2,,37,5439309,316436,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1995,PRJNA1196686,SRR31675473,,Available in Zenodo,E18T3,,32,5446620,351710,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1996,PRJNA1196686,SRR31675472,,Available in Zenodo,E18T4,,33,5445913,331779,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1997,PRJNA1196686,SRR31675471,,Available in Zenodo,E18T5,,48,5553344,336774,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN1998,PRJNA1196686,SRR31675470,,Available in Zenodo,E18T6,,40,5444350,316418,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN1999,PRJNA1196686,SRR31675469,,Available in Zenodo,E18T8,,34,5446549,351710,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN2000,PRJNA1196686,SRR31675468,,Available in Zenodo,E18T9,,31,5448790,380112,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN2001,PRJNA1196686,SRR31675466,,Available in Zenodo,E18T10,,36,5445517,315098,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN2002,PRJNA1196686,SRR31675465,,Available in Zenodo,E18T11,,31,5446784,461023,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Montsinery,FG2,Lettuce,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,41,match
RUN2003,PRJNA1196686,SRR31675464,,Available in Zenodo,E19T1,,107,5857608,195281,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,38,match
RUN2004,PRJNA1196686,SRR31675463,,Available in Zenodo,E19T2,,64,5508902,283941,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN2005,PRJNA1196686,SRR31675462,,Available in Zenodo,E19T3,,106,5846034,195281,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,38,match
RUN2006,PRJNA1196686,SRR31675461,,Available in Zenodo,E19T4,,117,5842383,170444,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,IIA,38,match
RUN2007,PRJNA1196686,SRR31675460,,Available in Zenodo,E19T5,,51,5509544,316656,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,Basal 4NPB,match
RUN2008,PRJNA1196686,SRR31675459,,Available in Zenodo,E19T6,,141,5826041,170443,no,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIA,-,38,unknown
RUN2009,PRJNA1196686,SRR31675458,,Available in Zenodo,E19T7,,54,5506527,253755,yes,Deberdt_et_al_2014,2011,,,,,South America,French Guiana,Corossony 1,FG3,Cucumber,plant,,Eudicot,Solanales,Solanum,Solanum lycopersicum,,Tomato,Tomato,symptomatic,,IIB,IIB,Basal 4NPB,match
